,car_number,completed_laps,elapsed_time,last_laptime,best_laptime,best_lap,time_behind_leader,laps_behind_leader,time_behind_prec,laps_behind_prec,overall_rank,overall_best_laptime,track_status,pit_stop_count,last_pitted_lap,start_position,laps_led
0,1,0,0.0,0.0,0.0,0,0.0,0,0.0,0,4,0.0,0,0,0,4,0
1,1,1,42.7829,42.3679,42.3679,1,0.8457,0,0.5677,0,4,42.3679,0,0,0,4,0
2,1,2,83.8813,41.0984,41.0984,2,1.1695,0,0.6452,0,4,41.0984,0,0,0,4,0
3,1,3,124.9756,41.0943,41.0943,3,1.4571,0,0.4572,0,4,41.0943,0,0,0,4,0
4,1,4,166.0936,41.118,41.0943,3,1.7348,0,0.4834,0,4,41.0943,0,0,0,4,0
5,1,5,207.1653,41.0717,41.0717,5,1.9046,0,0.7648,0,4,41.0717,0,0,0,4,0
6,1,6,248.3523,41.187,41.0717,5,2.2024,0,0.8365,0,4,41.0717,0,0,0,4,0
7,1,7,289.6172,41.2649,41.0717,5,2.5373,0,0.8016,0,4,41.0717,0,0,0,4,0
8,1,8,330.9584,41.3412,41.0717,5,2.9428,0,0.9574,0,4,41.0717,0,0,0,4,0
9,1,9,372.3228,41.3644,41.0717,5,3.1394,0,1.2365,0,4,41.0717,0,0,0,4,0
10,1,10,413.5778,41.255,41.0717,5,3.4255,0,1.4429,0,4,41.0717,0,0,0,4,0
11,1,11,454.7624,41.1846,41.0717,5,3.3099,0,1.4014,0,4,41.0717,0,0,0,4,0
12,1,12,496.1149,41.3525,41.0717,5,3.3574,0,1.4325,0,4,41.0717,0,0,0,4,0
13,1,13,537.4104,41.2955,41.0717,5,3.3771,0,1.5261,0,4,41.0717,0,0,0,4,0
14,1,14,578.7043,41.2939,41.0717,5,3.4335,0,1.6455,0,4,41.0717,0,0,0,4,0
15,1,15,619.9967,41.2924,41.0717,5,3.5343,0,1.6224,0,4,41.0717,0,0,0,4,0
16,1,16,661.3402,41.3435,41.0717,5,3.7273,0,1.6816,0,4,41.0717,0,0,0,4,0
17,1,17,702.7801,41.4399,41.0717,5,4.0755,0,1.6932,0,4,41.0717,0,0,0,4,0
18,1,18,744.2899,41.5098,41.0717,5,4.4987,0,1.796,0,4,41.0717,0,0,0,4,0
19,1,19,785.5875,41.2976,41.0717,5,4.7892,0,1.6765,0,4,41.0717,0,0,0,4,0
20,1,20,827.0016,41.4141,41.0717,5,5.254,0,1.5972,0,4,41.0717,0,0,0,4,0
21,1,21,868.2923,41.2907,41.0717,5,5.4827,0,1.501,0,4,41.0717,0,0,0,4,0
22,1,22,909.6928,41.4005,41.0717,5,5.6939,0,1.6682,0,4,41.0717,0,0,0,4,0
23,1,23,951.0822,41.3894,41.0717,5,5.937,0,1.8099,0,4,41.0717,0,0,0,4,0
24,1,24,992.5,41.4178,41.0717,5,6.2284,0,1.9141,0,4,41.0717,0,0,0,4,0
25,1,25,1033.9284,41.4284,41.0717,5,5.6873,0,2.2372,0,4,41.0717,0,0,0,4,0
26,1,26,1075.2189,41.2905,41.0717,5,4.545,0,2.1297,0,4,41.0717,0,0,0,4,0
27,1,27,1116.5556,41.3367,41.0717,5,3.9387,0,1.5487,0,4,41.0717,0,0,0,4,0
28,1,28,1158.0764,41.5208,41.0717,5,3.0526,0,1.1312,0,4,41.0717,0,0,0,4,0
29,1,29,1199.8686,41.7922,41.0717,5,2.6946,0,0.7391,0,4,41.0717,0,0,0,4,0
30,1,30,1242.6444,42.7758,41.0717,5,0.6026,0,0.6026,0,2,41.0717,0,0,0,4,0
31,1,31,1287.2535,44.6091,41.0717,5,0.0,0,0.0,0,1,41.0717,0,0,0,4,1
32,1,32,1342.5738,55.3203,41.0717,5,9.8879,0,0.3524,0,3,41.0717,0,1,32,4,1
33,1,33,1409.5082,66.9344,41.0717,5,33.9997,0,0.4653,0,13,41.0717,0,1,32,4,1
34,1,34,1450.6142,41.106,41.0717,5,20.399,0,1.6642,0,5,41.0717,0,1,32,4,1
35,1,35,1491.4108,40.7966,40.7966,35,2.9675,0,1.9933,0,3,40.7966,0,1,32,4,1
36,1,36,1532.1863,40.7755,40.7755,36,3.3547,0,2.0182,0,3,40.7755,0,1,32,4,1
37,1,37,1573.0213,40.835,40.7755,36,3.6985,0,1.3054,0,3,40.7755,0,1,32,4,1
38,1,38,1614.0946,41.0733,40.7755,36,4.0173,0,1.3137,0,3,40.7755,0,1,32,4,1
39,1,39,1655.4269,41.3323,40.7755,36,4.3862,0,1.7728,0,3,40.7755,0,1,32,4,1
40,1,40,1696.5770000000002,41.1501,40.7755,36,4.3794,0,1.9905,0,3,40.7755,0,1,32,4,1
41,1,41,1737.6609,41.0839,40.7755,36,4.0448,0,2.2977,0,3,40.7755,0,1,32,4,1
42,1,42,1778.9067,41.2458,40.7755,36,3.7866,0,2.4456,0,3,40.7755,0,1,32,4,1
43,1,43,1820.2268,41.3201,40.7755,36,3.9373,0,2.1336,0,3,40.7755,0,1,32,4,1
44,1,44,1861.5265,41.2997,40.7755,36,3.8756,0,1.9573,0,3,40.7755,0,1,32,4,1
45,1,45,1902.8678,41.3413,40.7755,36,3.7387,0,1.8436,0,3,40.7755,0,1,32,4,1
46,1,46,1944.2041,41.3363,40.7755,36,3.5924,0,1.8477,0,3,40.7755,0,1,32,4,1
47,1,47,1985.6364,41.4323,40.7755,36,3.4381,0,1.8156,0,3,40.7755,0,1,32,4,1
48,1,48,2044.6166,58.9802,40.7755,36,4.3645,0,2.2656,0,3,40.7755,1,1,32,4,1
49,1,49,2145.186,100.5694,40.7755,36,2.9646,0,0.8387,0,3,40.7755,1,1,32,4,1
50,1,50,2263.4804,118.2944,40.7755,36,1.1763,0,0.4094,0,3,40.7755,1,2,50,4,1
51,1,51,2383.5926,120.1122,40.7755,36,3.3169,0,0.7528,0,5,40.7755,1,2,50,4,1
52,1,52,2488.4494,104.8568,40.7755,36,2.5181,0,0.302,0,5,40.7755,1,2,50,4,1
53,1,53,2598.3506,109.9012,40.7755,36,2.6911,0,0.5747,0,5,40.7755,1,2,50,4,1
54,1,54,2703.9225,105.5719,40.7755,36,3.7606,0,1.3155,0,5,40.7755,1,2,50,4,1
55,1,55,2777.1123,73.1898,40.7755,36,1.1717,0,0.8379,0,5,40.7755,0,2,50,4,1
56,1,56,2820.1652,43.0529,40.7755,36,2.3381,0,0.0359,0,4,40.7755,0,2,50,4,1
57,1,57,2861.13,40.9648,40.7755,36,2.5709,0,2.0361,0,3,40.7755,0,2,50,4,1
58,1,58,2905.6306,44.5006,40.7755,36,2.889,0,2.3819999999999997,0,3,40.7755,1,2,50,4,1
59,1,59,3001.4004,95.7698,40.7755,36,1.5054,0,0.8054,0,3,40.7755,1,2,50,4,1
60,1,60,3106.7374,105.337,40.7755,36,1.2679,0,0.6183,0,3,40.7755,1,2,50,4,1
61,1,61,3211.9579,105.2205,40.7755,36,2.1801,0,1.2582,0,3,40.7755,1,2,50,4,1
62,1,62,3306.9575,94.9996,40.7755,36,2.2516,0,1.463,0,3,40.7755,1,2,50,4,1
63,1,63,3384.4238,77.4663,40.7755,36,0.2976,0,0.2337,0,3,40.7755,0,2,50,4,1
64,1,64,3426.28,41.8562,40.7755,36,0.8706,0,0.7902,0,3,40.7755,0,2,50,4,1
65,1,65,3467.2775,40.9975,40.7755,36,1.044,0,0.7587,0,3,40.7755,0,2,50,4,1
66,1,66,3508.2054,40.9279,40.7755,36,1.1731,0,0.6951,0,3,40.7755,0,2,50,4,1
67,1,67,3549.4336,41.2282,40.7755,36,1.5736,0,0.9671,0,3,40.7755,0,2,50,4,1
68,1,68,3594.8476,45.413999999999994,40.7755,36,2.4794,0,1.0953,0,3,40.7755,1,2,50,4,1
69,1,69,3690.0174,95.1698,40.7755,36,1.6835,0,0.728,0,3,40.7755,1,2,50,4,1
70,1,70,3806.6396,116.6222,40.7755,36,5.1985,0,0.7746,0,9,40.7755,1,3,70,4,1
71,1,71,3924.4726,117.833,40.7755,36,16.6342,0,0.7184,0,20,40.7755,1,3,70,4,1
72,1,72,4027.2482,102.7756,40.7755,36,17.5929,0,1.2833,0,20,40.7755,1,3,70,4,1
73,1,73,4095.3618,68.1136,40.7755,36,3.1889999999999996,0,0.1173,0,20,40.7755,0,3,70,4,1
74,1,74,4140.6081,45.2463,40.7755,36,6.6302,0,0.0295,0,19,40.7755,0,3,70,4,1
75,1,75,4183.7745,43.1664,40.7755,36,8.855,0,0.5884,0,19,40.7755,0,3,70,4,1
76,1,76,4226.1249,42.3504,40.7755,36,10.24,0,0.5644,0,19,40.7755,0,3,70,4,1
77,1,77,4268.8534,42.7285,40.7755,36,11.9785,0,0.131,0,20,40.7755,0,3,70,4,1
78,1,78,4311.2958,42.4424,40.7755,36,13.3738,0,0.6157,0,20,40.7755,0,3,70,4,1
79,1,79,4353.5954,42.2996,40.7755,36,14.5056,0,0.8427,0,20,40.7755,0,3,70,4,1
80,1,80,4395.6465,42.0511,40.7755,36,15.3947,0,0.9813,0,20,40.7755,0,3,70,4,1
81,1,81,4437.6094,41.9629,40.7755,36,16.1128,0,0.943,0,20,40.7755,0,3,70,4,1
82,1,82,4479.7902,42.1808,40.7755,36,16.9743,0,1.0798,0,20,40.7755,0,3,70,4,1
83,1,83,4521.9116,42.1214,40.7755,36,17.7534,0,0.7714,0,20,40.7755,0,3,70,4,1
84,1,84,4563.9189,42.0073,40.7755,36,18.4969,0,0.7545,0,20,40.7755,0,3,70,4,1
85,1,85,4605.9867,42.0678,40.7755,36,19.4187,0,0.8109999999999999,0,20,40.7755,0,3,70,4,1
86,1,86,4648.1301,42.1434,40.7755,36,20.3536,0,0.7752,0,20,40.7755,0,3,70,4,1
87,1,87,4691.0915,42.9614,40.7755,36,22.0253,0,0.4162,0,20,40.7755,0,3,70,4,1
88,1,88,4733.6332,42.5417,40.7755,36,22.4716,0,0.2768,0,20,40.7755,0,3,70,4,1
89,1,89,4776.5063,42.8731,40.7755,36,22.8629,0,0.0842,0,20,40.7755,0,3,70,4,1
90,1,90,4819.1756,42.6693,40.7755,36,22.6139,0,0.4507,0,19,40.7755,0,3,70,4,1
91,1,91,4861.696,42.5204,40.7755,36,24.0865,0,0.6478,0,17,40.7755,0,3,70,4,1
92,1,92,4903.9968,42.3008,40.7755,36,24.0472,0,0.6409999999999999,0,17,40.7755,0,3,70,4,1
93,1,93,4946.2033,42.2065,40.7755,36,25.5406,0,0.6305,0,13,40.7755,0,3,70,4,1
94,1,94,4988.5294,42.3261,40.7755,36,15.3921,0,0.7097,0,10,40.7755,0,3,70,4,1
95,1,95,5031.1632,42.6338,40.7755,36,4.9092,0,1.1657,0,6,40.7755,0,3,70,4,1
96,1,96,5073.4899,42.3267,40.7755,36,4.2708,0,1.1264,0,4,40.7755,0,3,70,4,1
97,1,97,5115.6735,42.1836,40.7755,36,1.9713,0,0.9882,0,3,40.7755,0,3,70,4,1
98,1,98,5158.7158,43.0423,40.7755,36,2.0626,0,0.0503,0,3,40.7755,0,3,70,4,1
99,1,99,5202.3002,43.5844,40.7755,36,3.5092,0,0.4666,0,3,40.7755,0,3,70,4,1
100,1,100,5245.1617,42.8615,40.7755,36,4.4989,0,1.1345,0,3,40.7755,0,3,70,4,1
101,1,101,5298.829000000001,53.6673,40.7755,36,16.4345,0,1.0314,0,9,40.7755,0,4,101,4,1
102,1,102,5364.8266,65.9976,40.7755,36,40.7941,0,7.0062,0,22,40.7755,0,4,101,4,1
103,1,103,5405.7836,40.957,40.7755,36,40.1528,0,6.5247,0,21,40.7755,0,4,101,4,1
104,1,104,5446.66,40.8764,40.7755,36,39.0569,0,6.1824,0,21,40.7755,0,4,101,4,1
105,1,105,5487.7905,41.1305,40.7755,36,38.1097,0,5.9332,0,20,40.7755,0,4,101,4,1
106,1,106,5528.8887,41.0982,40.7755,36,27.6717,0,5.4672,0,19,40.7755,0,4,101,4,1
107,1,107,5570.0003,41.1116,40.7755,36,27.2346,0,4.9825,0,16,40.7755,0,4,101,4,1
108,1,108,5611.1013,41.101000000000006,40.7755,36,25.3009,0,4.4578,0,16,40.7755,0,4,101,4,1
109,1,109,5652.3837,41.2824,40.7755,36,24.951,0,4.2824,0,15,40.7755,0,4,101,4,1
110,1,110,5693.7016,41.3179,40.7755,36,24.9758,0,3.7209,0,15,40.7755,0,4,101,4,1
111,1,111,5735.0378,41.3362,40.7755,36,25.0322,0,2.6031,0,15,40.7755,0,4,101,4,1
112,1,112,5776.345,41.3072,40.7755,36,24.7098,0,1.985,0,15,40.7755,0,4,101,4,1
113,1,113,5817.7273,41.3823,40.7755,36,24.8984,0,1.3029,0,15,40.7755,0,4,101,4,1
114,1,114,5859.4518,41.7245,40.7755,36,25.4912,0,0.9065,0,15,40.7755,0,4,101,4,1
115,1,115,5901.1378,41.68600000000001,40.7755,36,25.9261,0,0.7989,0,15,40.7755,0,4,101,4,1
116,1,116,5942.8186,41.6808,40.7755,36,26.1719,0,0.8287,0,15,40.7755,0,4,101,4,1
117,1,117,5984.4573,41.6387,40.7755,36,26.2924,0,0.9434,0,15,40.7755,0,4,101,4,1
118,1,118,6025.9215,41.4642,40.7755,36,26.0979,0,0.7957,0,15,40.7755,0,4,101,4,1
119,1,119,6067.7996,41.8781,40.7755,36,26.1713,0,0.7627,0,15,40.7755,0,4,101,4,1
120,1,120,6109.6188,41.8192,40.7755,36,25.8588,0,0.7020000000000001,0,15,40.7755,0,4,101,4,1
121,1,121,6151.6106,41.9918,40.7755,36,23.869,0,0.5147,0,14,40.7755,0,4,101,4,1
122,1,122,6193.5397,41.9291,40.7755,36,23.2504,0,0.6281,0,14,40.7755,0,4,101,4,1
123,1,123,6235.2038,41.6641,40.7755,36,23.1155,0,0.5276,0,14,40.7755,0,4,101,4,1
124,1,124,6277.0966,41.8928,40.7755,36,23.5635,0,0.5907,0,14,40.7755,0,4,101,4,1
125,1,125,6319.1596,42.063,40.7755,36,24.2074,0,0.4991,0,13,40.7755,0,4,101,4,1
126,1,126,6361.503000000001,42.3434,40.7755,36,25.0243,0,0.8358,0,12,40.7755,0,4,101,4,1
127,1,127,6403.5925,42.0895,40.7755,36,25.6094,0,0.7574,0,11,40.7755,0,4,101,4,1
128,1,128,6445.6068,42.0143,40.7755,36,26.1482,0,0.8717,0,10,40.7755,0,4,101,4,1
129,1,129,6487.7288,42.122,40.7755,36,21.5358,0,0.8778,0,8,40.7755,0,4,101,4,1
130,1,130,6529.9528,42.224,40.7755,36,6.6273,0,0.7876,0,4,40.7755,0,4,101,4,1
131,1,131,6572.6332,42.6804,40.7755,36,7.2409,0,7.2409,0,2,40.7755,0,4,101,4,1
132,1,132,6614.1404,41.5072,40.7755,36,6.4296,0,6.4296,0,2,40.7755,0,4,101,4,1
133,1,133,6656.3089,42.1685,40.7755,36,0.0,0,0.0,0,1,40.7755,0,4,101,4,2
134,1,134,6697.8154,41.5065,40.7755,36,0.0,0,0.0,0,1,40.7755,0,4,101,4,3
135,1,135,6750.8795,53.0641,40.7755,36,7.0015,0,0.5891,0,8,40.7755,0,5,135,4,3
136,1,136,6817.2337,66.3542,40.7755,36,30.3786,0,0.7666,0,20,40.7755,0,5,135,4,3
137,1,137,6858.08,40.8463,40.7755,36,28.0981,0,0.3141,0,19,40.7755,0,5,135,4,3
138,1,138,6907.4643,49.3843,40.7755,36,34.155,0,2.8661,0,17,40.7755,1,5,135,4,3
139,1,139,6972.4492,64.9849,40.7755,36,37.3323,0,1.1633,0,17,40.7755,1,5,135,4,3
140,1,140,7046.6615,74.2123,40.7755,36,16.7891,0,0.3924,0,17,40.7755,1,5,135,4,3
141,1,141,7159.7891,113.1276,40.7755,36,11.6905,0,0.0555,0,15,40.7755,1,5,135,4,3
142,1,142,7265.434,105.6449,40.7755,36,13.2469,0,0.36,0,13,40.7755,1,5,135,4,3
143,1,143,7368.0443,102.6103,40.7755,36,12.1126,0,0.551,0,13,40.7755,1,5,135,4,3
144,1,144,7469.7958,101.7515,40.7755,36,13.7822,0,0.4791,0,13,40.7755,1,5,135,4,3
145,1,145,7541.2131,71.4173,40.7755,36,2.9915,0,0.1092,0,12,40.7755,0,5,135,4,3
146,1,146,7592.3835,51.1704,40.7755,36,12.0349,0,0.3232,0,10,40.7755,1,5,135,4,3
147,1,147,7671.9708,79.5873,40.7755,36,12.7752,0,1.2552,0,10,40.7755,1,5,135,4,3
148,1,148,7762.8417,90.8709,40.7755,36,9.4238,0,0.7079,0,10,40.7755,1,5,135,4,3
149,1,149,7859.7727,96.931,40.7755,36,12.2222,0,0.4154,0,10,40.7755,1,5,135,4,3
150,1,150,7947.3906,87.6179,40.7755,36,11.509,0,1.6445,0,10,40.7755,1,5,135,4,3
151,1,151,8035.7205,88.3299,40.7755,36,11.3614,0,0.6338,0,10,40.7755,1,5,135,4,3
152,1,152,8124.4811,88.7606,40.7755,36,11.7774,0,0.6726,0,10,40.7755,1,5,135,4,3
153,1,153,8195.2725,70.7914,40.7755,36,2.5885,0,0.0872,0,10,40.7755,0,5,135,4,3
154,1,154,8242.6348,47.3623,40.7755,36,8.0998,0,0.5953,0,11,40.7755,1,5,135,4,3
155,1,155,8321.6752,79.0404,40.7755,36,7.9733,0,0.4505,0,11,40.7755,1,5,135,4,3
156,1,156,8425.1158,103.4406,40.7755,36,10.7826,0,0.5486,0,11,40.7755,1,5,135,4,3
157,1,157,8528.6557,103.5399,40.7755,36,7.281000000000001,0,0.3716,0,10,40.7755,1,5,135,4,3
158,1,158,8624.3578,95.7021,40.7755,36,8.705,0,1.5366,0,10,40.7755,1,5,135,4,3
159,1,159,8717.6404,93.2826,40.7755,36,9.4179,0,0.6704,0,10,40.7755,1,5,135,4,3
