car, numenta, random , bayes  , expose 
1  ,  65.87%,  99.41%,  77.78%,  60.11%
3  ,  79.17%,  99.18%,  83.85%,  69.52%
4  ,  76.43%,  97.73%,  89.58%,  64.54%
6  ,  86.10%,  97.27%,  86.30%,  73.68%
7  ,  73.98%,  97.49%,  76.10%,  77.92%
12 ,  61.59%,  98.48%,  81.14%,  81.12%
14 ,  74.49%,  97.21%,  87.38%,  85.80%
15 ,  84.71%,  98.67%,  85.50%,  94.96%
17 ,  76.86%,  96.46%,  84.50%,  77.04%
18 ,  77.24%,  97.56%,  77.40%,  59.41%
19 ,  68.07%,  95.96%,  79.18%,  63.78%
20 ,  68.75%,  98.56%,  76.14%,  54.55%
21 ,  72.56%,  97.38%,  76.35%,  62.42%
22 ,  70.91%,  98.58%,  83.08%,  71.24%
23 ,  70.95%,  95.85%,  79.46%,  67.37%
24 ,  76.26%,  98.29%,  83.71%,  73.77%
25 ,  49.24%,  99.44%,  83.13%,  74.07%
26 ,  77.05%,  98.45%,  78.89%,  83.74%
27 ,  88.50%,  95.12%,  85.51%,  75.91%
28 ,  87.12%,  98.31%,  87.22%,  80.00%
29 ,  88.50%,  96.72%,  88.42%,  78.68%
59 ,  78.85%,  99.00%,  85.86%,  84.08%
60 ,  83.82%,  95.61%,  86.23%,  79.27%
64 ,  80.25%,  98.64%,  85.95%,  79.33%
66 ,  76.28%,  98.52%,  86.31%,  82.89%
88 ,  78.79%,  96.95%,  89.55%,  82.91%
98 ,  79.39%,  98.31%,  81.55%,  69.88%
