car, Numenta HTM, Random Cut Forest, Bayesian Changepoint, EXPoSE
1  ,  76.05%,  67.06%,  39.68%,  78.57%
3  ,  58.33%,  69.67%,  43.12%,  52.38%
4  ,  62.14%,  85.00%,  68.73%,  68.79%
6  ,  88.77%,  90.45%,  78.89%,  88.04%
7  ,  56.41%,  79.40%,  56.83%,  76.15%
12 ,  81.16%,  65.99%,  54.29%,  86.73%
14 ,  62.89%,  68.84%,  51.40%,  83.52%
15 ,  94.27%,  91.11%,  74.72%,  94.12%
17 ,  72.73%,  78.28%,  70.85%,  91.85%
18 ,  74.80%,  84.55%,  65.07%,  83.17%
19 ,  61.34%,  62.78%,  47.95%,  87.40%
20 ,  84.03%,  67.46%,  51.14%,  79.72%
21 ,  60.37%,  65.97%,  54.19%,  68.48%
22 ,  69.09%,  78.77%,  63.08%,  75.22%
23 ,  83.11%,  90.16%,  73.83%,  86.32%
24 ,  92.81%,  74.36%,  57.30%,  84.43%
25 ,  75.00%,  92.13%,  79.12%,  86.24%
26 ,  57.92%,  67.53%,  46.47%,  73.89%
27 ,  92.04%,  85.89%,  76.06%,  85.40%
28 ,  72.22%,  80.34%,  65.04%,  87.10%
29 ,  68.14%,  71.31%,  52.63%,  66.18%
59 ,  67.31%,  88.00%,  76.55%,  76.62%
60 ,  60.29%,  75.00%,  51.63%,  72.02%
64 ,  69.43%,  87.73%,  73.03%,  90.67%
66 ,  80.13%,  93.10%,  78.01%,  85.03%
88 ,  74.75%,  77.86%,  65.45%,  72.36%
98 ,  74.81%,  75.28%,  49.36%,  75.30%
