car, Numenta HTM, Random Cut Forest, Bayesian Changepoint, EXPoSE
1  ,  81.25%,  50.00%,  93.75%,  81.25%
3  ,  80.00%,  60.00%, 100.00%,  90.00%
4  ,  58.33%,  58.33%,  75.00%,  66.67%
6  ,  81.82%,  63.64%,  90.91%,  90.91%
7  ,  73.33%,  40.00%,  80.00%,  73.33%
12 ,  84.62%,  61.54%,  76.92%,  76.92%
14 ,  73.33%,  60.00%,  66.67%,  60.00%
15 ,  77.78%,  44.44%,  88.89%,  33.33%
17 ,  70.00%,  40.00%,  80.00%,  70.00%
18 ,  66.67%,  55.56%,  77.78%,  88.89%
19 ,  78.57%,  57.14%, 100.00%,  57.14%
20 ,  69.23%,  53.85%, 100.00%,  61.54%
21 ,  66.67%,  40.00%,  80.00%,  73.33%
22 ,  83.33%,  58.33%,  91.67%,  91.67%
23 ,  71.43%,  64.29%,  85.71%,  92.86%
24 ,  50.00%,  41.67%,  83.33%,  50.00%
25 ,  83.33%,  25.00%,  83.33%,  91.67%
26 ,  64.71%,  64.71%,  88.24%,  70.59%
27 ,  60.00%,  50.00%,  80.00%,  80.00%
28 ,  70.00%,  40.00%,  80.00%,  90.00%
29 ,  60.00%,  60.00%,  90.00%,  90.00%
59 ,  66.67%,  55.56%, 100.00%,  88.89%
60 ,  60.00%,  90.00%, 100.00%,  80.00%
64 ,  70.00%,  40.00%,  80.00%,  80.00%
66 ,  60.00%,  30.00%,  70.00%,  60.00%
88 ,  72.73%,  45.45%,  81.82%,  81.82%
98 ,  68.75%,  37.50%,  75.00%,  75.00%
