car, numenta, random , bayes  , expose 
1  ,  67.74%,   3.23%,  87.10%,  58.06%
3  ,  42.11%,   5.26%,  57.89%,  36.84%
4  ,  39.13%,  21.74%,  56.52%,  39.13%
6  ,  47.62%,  28.57%,  76.19%,  52.38%
7  ,  51.72%,  17.24%,  72.41%,  55.17%
12 ,  56.00%,   8.00%,  68.00%,  40.00%
14 ,  37.93%,  13.79%,  51.72%,  24.14%
15 ,  50.00%,  22.22%,  66.67%,  22.22%
17 ,  57.89%,  26.32%,  73.68%,  52.63%
18 ,  52.94%,   5.88%,  64.71%,  52.94%
19 ,  51.85%,  22.22%,  77.78%,  40.74%
20 ,  52.00%,  12.00%,  80.00%,  48.00%
21 ,  51.72%,  13.79%,  68.97%,  34.48%
22 ,  56.52%,  13.04%,  78.26%,  65.22%
23 ,  48.15%,  33.33%,  70.37%,  40.74%
24 ,  43.48%,  17.39%,  60.87%,  39.13%
25 ,  60.87%,   4.35%,  78.26%,  65.22%
26 ,  45.45%,  18.18%,  75.76%,  42.42%
27 ,  42.11%,  42.11%,  68.42%,  47.37%
28 ,  52.63%,  21.05%,  73.68%,  42.11%
29 ,  36.84%,  21.05%,  52.63%,  52.63%
59 ,  52.94%,  17.65%,  88.24%,  58.82%
60 ,  52.63%,  52.63%,  68.42%,  57.89%
64 ,  57.89%,  21.05%,  73.68%,  52.63%
66 ,  63.16%,  21.05%,  73.68%,  52.63%
88 ,  38.10%,  14.29%,  52.38%,  47.62%
98 ,  45.16%,   9.68%,  87.10%,  64.52%
